Comparing processes: 4087 vs 3276
=====================================

Metric                         PID 1           PID 2
--------------------------------------------------------
VSZ                          11.9 MB        15.50 GB
RSS                           5.8 MB        689.6 MB
Data + Heap                   2.5 MB        780.3 MB
Stack                         132 KB          192 KB
Text                          956 KB          596 KB
Shared libraries              1.8 MB        267.3 MB
PSS                           3.2 MB        589.5 MB
Shared clean                  3.9 MB        117.8 MB
Shared dirty                    0 KB          9.2 MB
Private clean                   4 KB        131.1 MB
Private dirty                 2.5 MB        431.9 MB
