% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.31   10.270311          28    358500           write
  0.88    0.091683       10187         9           unlink
  0.66    0.068791          21      3201           read
  0.08    0.008345         641        13           close
  0.07    0.007032         540        13           openat
  0.00    0.000356          39         9           clock_nanosleep
  0.00    0.000107          53         2           munmap
  0.00    0.000061          20         3           mprotect
  0.00    0.000051          10         5           fstat
  0.00    0.000030          10         3           brk
  0.00    0.000028           3         9           mmap
  0.00    0.000020          20         1           newfstatat
  0.00    0.000015          15         1           prlimit64
  0.00    0.000015          15         1           getrandom
  0.00    0.000013          13         1           rseq
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00   10.446858          28    361778         1 total

